,period,respondent,respondent_name,value_units,day_ahead_demand_forecast,demand,net_generation,total_interchange
182,2023-10-05T13,PJM,"PJM Interconnection, LLC",megawatthours,88368,86336,91020,4687
183,2023-10-05T14,PJM,"PJM Interconnection, LLC",megawatthours,90446,87744,91479,3738
184,2023-10-05T15,PJM,"PJM Interconnection, LLC",megawatthours,92439,88996,93067,4074
185,2023-10-05T16,PJM,"PJM Interconnection, LLC",megawatthours,94664,90722,94438,3714
186,2023-10-05T17,PJM,"PJM Interconnection, LLC",megawatthours,96972,93191,96827,3639
187,2023-10-05T18,PJM,"PJM Interconnection, LLC",megawatthours,98524,95352,97954,2606
188,2023-10-05T19,PJM,"PJM Interconnection, LLC",megawatthours,99791,96801,99232,2434
189,2023-10-05T20,PJM,"PJM Interconnection, LLC",megawatthours,101071,97889,100461,2576
190,2023-10-05T21,PJM,"PJM Interconnection, LLC",megawatthours,101563,99069,100823,1756
191,2023-10-05T22,PJM,"PJM Interconnection, LLC",megawatthours,99944,99001,100658,1659
192,2023-10-05T23,PJM,"PJM Interconnection, LLC",megawatthours,98186,97896,100516,2624
193,2023-10-06T00,PJM,"PJM Interconnection, LLC",megawatthours,95829,97756,100443,2690
194,2023-10-06T01,PJM,"PJM Interconnection, LLC",megawatthours,91193,95367,98337,2973
195,2023-10-06T02,PJM,"PJM Interconnection, LLC",megawatthours,85285,91292,94126,2838
196,2023-10-06T03,PJM,"PJM Interconnection, LLC",megawatthours,79531,86522,90018,3498
197,2023-10-06T04,PJM,"PJM Interconnection, LLC",megawatthours,75482,81093,85403,4313
198,2023-10-06T05,PJM,"PJM Interconnection, LLC",megawatthours,71957,76848,80806,3962
199,2023-10-06T06,PJM,"PJM Interconnection, LLC",megawatthours,70144,74699,78685,3989
200,2023-10-06T07,PJM,"PJM Interconnection, LLC",megawatthours,69288,72953,77011,4061
201,2023-10-06T08,PJM,"PJM Interconnection, LLC",megawatthours,69823,71878,75721,3846
202,2023-10-06T09,PJM,"PJM Interconnection, LLC",megawatthours,72836,72745,76882,4140
203,2023-10-06T10,PJM,"PJM Interconnection, LLC",megawatthours,78469,74701,78363,3665
204,2023-10-06T11,PJM,"PJM Interconnection, LLC",megawatthours,82774,79399,82389,2994
205,2023-10-06T12,PJM,"PJM Interconnection, LLC",megawatthours,85221,83755,86463,2711
206,2023-10-06T13,PJM,"PJM Interconnection, LLC",megawatthours,87129,86012,88780,2771
207,2023-10-06T14,PJM,"PJM Interconnection, LLC",megawatthours,88826,87828,89714,1890
208,2023-10-06T15,PJM,"PJM Interconnection, LLC",megawatthours,90383,89084,91007,1925
209,2023-10-06T16,PJM,"PJM Interconnection, LLC",megawatthours,91813,90678,92997,2323
210,2023-10-06T17,PJM,"PJM Interconnection, LLC",megawatthours,93234,92513,95474,2964
211,2023-10-06T18,PJM,"PJM Interconnection, LLC",megawatthours,94041,94072,96561,2493
212,2023-10-06T19,PJM,"PJM Interconnection, LLC",megawatthours,94506,94765,96914,2152
213,2023-10-06T20,PJM,"PJM Interconnection, LLC",megawatthours,95041,95081,96712,1634
214,2023-10-06T21,PJM,"PJM Interconnection, LLC",megawatthours,94907,95327,96840,1516
215,2023-10-06T22,PJM,"PJM Interconnection, LLC",megawatthours,93059,94772,96601,1832
216,2023-10-06T23,PJM,"PJM Interconnection, LLC",megawatthours,91388,93278,95461,2187
217,2023-10-07T00,PJM,"PJM Interconnection, LLC",megawatthours,89341,92770,95438,2670
218,2023-10-07T01,PJM,"PJM Interconnection, LLC",megawatthours,86070,90309,93296,2990
219,2023-10-07T02,PJM,"PJM Interconnection, LLC",megawatthours,81632,86332,89992,3662
220,2023-10-07T03,PJM,"PJM Interconnection, LLC",megawatthours,76656,81762,84950,3190
221,2023-10-07T04,PJM,"PJM Interconnection, LLC",megawatthours,73099,77668,81907,4242
222,2023-10-07T05,PJM,"PJM Interconnection, LLC",megawatthours,70925,73896,78347,4454
223,2023-10-07T06,PJM,"PJM Interconnection, LLC",megawatthours,68995,71081,76735,5657
224,2023-10-07T07,PJM,"PJM Interconnection, LLC",megawatthours,67756,69528,75969,6444
225,2023-10-07T08,PJM,"PJM Interconnection, LLC",megawatthours,67456,68654,74959,6309
226,2023-10-07T09,PJM,"PJM Interconnection, LLC",megawatthours,68490,68423,74955,6536
227,2023-10-07T10,PJM,"PJM Interconnection, LLC",megawatthours,70529,68922,75218,6299
228,2023-10-07T11,PJM,"PJM Interconnection, LLC",megawatthours,72810,70387,76687,6304
229,2023-10-07T12,PJM,"PJM Interconnection, LLC",megawatthours,75340,72011,77948,5940
230,2023-10-07T13,PJM,"PJM Interconnection, LLC",megawatthours,77288,74938,81701,6766
231,2023-10-07T14,PJM,"PJM Interconnection, LLC",megawatthours,78411,77619,83943,6327
232,2023-10-07T15,PJM,"PJM Interconnection, LLC",megawatthours,78821,78987,85009,6026
233,2023-10-07T16,PJM,"PJM Interconnection, LLC",megawatthours,78831,79256,85359,6107
234,2023-10-07T17,PJM,"PJM Interconnection, LLC",megawatthours,78581,78896,84867,5974
235,2023-10-07T18,PJM,"PJM Interconnection, LLC",megawatthours,78180,77954,84542,6591
236,2023-10-07T19,PJM,"PJM Interconnection, LLC",megawatthours,78111,77370,83648,6282
237,2023-10-07T20,PJM,"PJM Interconnection, LLC",megawatthours,78627,76583,83119,6539
238,2023-10-07T21,PJM,"PJM Interconnection, LLC",megawatthours,79549,76476,83036,6563
239,2023-10-07T22,PJM,"PJM Interconnection, LLC",megawatthours,79953,76493,83112,6622
240,2023-10-07T23,PJM,"PJM Interconnection, LLC",megawatthours,80296,77156,83824,6671
241,2023-10-08T00,PJM,"PJM Interconnection, LLC",megawatthours,80376,78644,85144,6503
242,2023-10-08T01,PJM,"PJM Interconnection, LLC",megawatthours,78768,77758,84228,6474
243,2023-10-08T02,PJM,"PJM Interconnection, LLC",megawatthours,75761,75526,81603,6080
244,2023-10-08T03,PJM,"PJM Interconnection, LLC",megawatthours,72195,72309,78161,5856
245,2023-10-08T04,PJM,"PJM Interconnection, LLC",megawatthours,69850,68647,74647,6002
246,2023-10-08T05,PJM,"PJM Interconnection, LLC",megawatthours,67133,65910,70799,4893
247,2023-10-08T06,PJM,"PJM Interconnection, LLC",megawatthours,65964,64103,69438,5338
248,2023-10-08T07,PJM,"PJM Interconnection, LLC",megawatthours,65489,63815,68944,5132
249,2023-10-08T08,PJM,"PJM Interconnection, LLC",megawatthours,65638,63543,68746,5206
250,2023-10-08T09,PJM,"PJM Interconnection, LLC",megawatthours,66695,63584,68541,4960
251,2023-10-08T10,PJM,"PJM Interconnection, LLC",megawatthours,68262,64364,69252,4892
252,2023-10-08T11,PJM,"PJM Interconnection, LLC",megawatthours,69935,65653,70138,4488
253,2023-10-08T12,PJM,"PJM Interconnection, LLC",megawatthours,71753,67556,72195,4643
254,2023-10-08T13,PJM,"PJM Interconnection, LLC",megawatthours,72790,69607,74154,4550
255,2023-10-08T14,PJM,"PJM Interconnection, LLC",megawatthours,73093,70969,75589,4623
256,2023-10-08T15,PJM,"PJM Interconnection, LLC",megawatthours,73243,72102,77017,4918
257,2023-10-08T16,PJM,"PJM Interconnection, LLC",megawatthours,73435,72890,78148,5261
258,2023-10-08T17,PJM,"PJM Interconnection, LLC",megawatthours,73291,73397,78329,4934
259,2023-10-08T18,PJM,"PJM Interconnection, LLC",megawatthours,73200,73944,78792,4851
260,2023-10-08T19,PJM,"PJM Interconnection, LLC",megawatthours,73627,73711,78434,4726
261,2023-10-08T20,PJM,"PJM Interconnection, LLC",megawatthours,74964,73656,77696,4043
262,2023-10-08T21,PJM,"PJM Interconnection, LLC",megawatthours,76884,74485,78316,3834
263,2023-10-08T22,PJM,"PJM Interconnection, LLC",megawatthours,78044,76168,80180,4015
264,2023-10-08T23,PJM,"PJM Interconnection, LLC",megawatthours,79475,78132,81934,3805
265,2023-10-09T00,PJM,"PJM Interconnection, LLC",megawatthours,80699,80631,83585,2957
266,2023-10-09T01,PJM,"PJM Interconnection, LLC",megawatthours,79384,79959,82717,2761
267,2023-10-09T02,PJM,"PJM Interconnection, LLC",megawatthours,76354,77298,79373,2078
268,2023-10-09T03,PJM,"PJM Interconnection, LLC",megawatthours,72870,73790,75628,1841
269,2023-10-09T04,PJM,"PJM Interconnection, LLC",megawatthours,70598,70794,73152,2361
270,2023-10-09T05,PJM,"PJM Interconnection, LLC",megawatthours,68110,68246,70922,2680
271,2023-10-09T06,PJM,"PJM Interconnection, LLC",megawatthours,67678,66739,70084,3349
272,2023-10-09T07,PJM,"PJM Interconnection, LLC",megawatthours,67905,66896,69836,2943
273,2023-10-09T08,PJM,"PJM Interconnection, LLC",megawatthours,69683,66968,69476,2511
274,2023-10-09T09,PJM,"PJM Interconnection, LLC",megawatthours,73882,68427,71095,2672
275,2023-10-09T10,PJM,"PJM Interconnection, LLC",megawatthours,80495,71175,73513,2341
276,2023-10-09T11,PJM,"PJM Interconnection, LLC",megawatthours,84734,76912,78449,1540
277,2023-10-09T12,PJM,"PJM Interconnection, LLC",megawatthours,85427,81818,83795,1980
278,2023-10-09T13,PJM,"PJM Interconnection, LLC",megawatthours,84532,83286,85326,2043
279,2023-10-09T14,PJM,"PJM Interconnection, LLC",megawatthours,83783,82783,84495,1715
280,2023-10-09T15,PJM,"PJM Interconnection, LLC",megawatthours,83065,82558,85048,2494
281,2023-10-09T16,PJM,"PJM Interconnection, LLC",megawatthours,82644,82368,84767,2402
282,2023-10-09T17,PJM,"PJM Interconnection, LLC",megawatthours,82300,82244,84347,2106
283,2023-10-09T18,PJM,"PJM Interconnection, LLC",megawatthours,81758,82532,84280,1751
284,2023-10-09T19,PJM,"PJM Interconnection, LLC",megawatthours,81455,82367,84325,1962
285,2023-10-09T20,PJM,"PJM Interconnection, LLC",megawatthours,82247,82033,83934,1904
286,2023-10-09T21,PJM,"PJM Interconnection, LLC",megawatthours,83782,82192,84146,1957
287,2023-10-09T22,PJM,"PJM Interconnection, LLC",megawatthours,84374,83616,85332,1720
288,2023-10-09T23,PJM,"PJM Interconnection, LLC",megawatthours,85248,85215,87652,2440
289,2023-10-10T00,PJM,"PJM Interconnection, LLC",megawatthours,85938,86761,88222,1464
290,2023-10-10T01,PJM,"PJM Interconnection, LLC",megawatthours,83930,85327,87333,2009
291,2023-10-10T02,PJM,"PJM Interconnection, LLC",megawatthours,79693,82022,83961,1942
292,2023-10-10T03,PJM,"PJM Interconnection, LLC",megawatthours,75355,77784,80268,2487
293,2023-10-10T04,PJM,"PJM Interconnection, LLC",megawatthours,72517,75197,78014,2820
294,2023-10-10T05,PJM,"PJM Interconnection, LLC",megawatthours,69963,72634,74942,2311
